water,2,20,10,0,,LB,water,pqsBC,pqsBC,pqsBC,water
,0,2,20,10,,,,lasR,lasR,lasR,
,10,0,2,20,,LB2,,rhlR,rhlR,rhlR,
,20,10,0,2,,,,mvfR,mvfR,mvfR,
,2,20,10,0,,LB10,,pqsE,pqsE,pqsE,
,0,2,20,10,,,,pqsH,pqsH,pqsH,
,10,0,2,20,,LB20,,pqsL,pqsL,pqsL,
,20,10,0,2,,,,,,,
