Time [s],0,1200.1,2400.3,3600.4,4800.6,6000.7,7200.9,8401,9601.2,10801.4,12001.5,13201.6,14401.8,15602,16802.1,18002.3,19202.4,20402.6,21602.7,22802.9,24003,25203.2,26403.3,27603.5,28803.6,30003.8,31203.9,32404.1,33604.3,34804.4,36004.6,37204.7,38404.9,39605,40805.2,42005.3,43205.5,44405.6,45605.8,46805.9,48006.1,49206.2,50406.4,51606.5,52806.7,54006.9,55207,56407.1,57607.3,58807.5,60007.6,61207.8,62407.9,63608.1,64808.2
Temp. [°C],25.7,36.7,37.3,37.7,37.7,37.3,37.2,37.6,37.5,37,37.8,37,37.7,37,37.7,37.2,37.1,37.7,37.1,37.7,37.2,37.7,36.8,37.3,37.7,37.7,37.2,37.4,37.7,36.8,36.8,36.8,36.8,36.8,36.8,36.8,37,37.3,37.7,37.7,37.3,36.8,37.1,37.5,37.7,37.2,36.8,37.1,37.4,37.6,37.7,37.5,36.8,37.1,37.6
A2,6842,8893,8900,8471,8153,7801,7425,7078,6781,6444,6186,5954,5819,5774,5832,6011,6474,7305,8210,8619,8404,7628,6746,6166,6166,6231,6338,6462,6579,6673,6813,6954,7152,7313,7480,7603,7743,7846,7991,8091,8197,8355,8474,8630,8898,9111,9257,9443,9679,9934,10158,10339,10639,10827,11045
A3,6947,8687,8761,8340,7937,7664,7314,6920,6568,6255,5882,5643,5494,5379,5333,5571,6184,6799,7065,6842,6262,5679,5712,5695,5672,5727,5816,5948,6053,6130,6280,6390,6483,6633,6748,6877,6963,7095,7285,7413,7591,7879,8051,8169,8369,8591,8810,9057,9270,9415,9563,9743,9947,10141,10378
A4,6389,8179,8328,7948,7756,7534,7196,6843,6482,6209,5917,5660,5541,5511,5565,5931,6629,7292,7574,7235,6564,6003,5885,5924,5973,6086,6135,6204,6239,6374,6563,6676,6803,6836,6921,7011,7094,7304,7419,7564,7698,7966,8142,8314,8524,8676,8808,8957,9190,9427,9574,9787,10007,10210,10392
A5,5957,11060,11296,10879,10681,10473,10099,9992,10348,11826,15915,23644,33916,41952,45260,43906,38674,31637,24103,19263,17087,15838,15036,14495,14086,13681,13228,12876,12670,12682,12621,12323,12059,11833,11830,11854,11870,11896,12004,12233,12560,12869,13270,13317,13714,13918,14040,14455,14784,14863,14929,15063,15107,15185,15203
A6,9049,10328,10027,9931,9705,9708,9605,9597,9567,9524,9509,9532,9534,9503,9462,9434,9440,9458,9425,9448,9498,9463,9506,9488,9435,9377,9361,9287,9239,9177,9183,9110,9088,9010,9010,9010,9314,10055,11138,12185,13327,14017,13366,12098,10846,10065,9603,9454,9377,9369,9354,9284,9293,9310,9286
B2,5966,8372,8503,8241,8050,7744,7648,7902,8939,11803,17579,27049,37767,44000,44696,40515,31944,23227,17007,14271,12836,11948,11508,11205,10916,10586,10284,10047,9867,9836,9852,9950,10045,10083,10184,10281,10380,10510,10851,11209,11425,11541,11675,11826,12058,12275,12309,12592,12803,12958,13257,13340,13565,13541,13701
B3,7224,8633,8427,8238,8110,7778,7446,7120,6769,6398,6055,5767,5592,5580,5627,5833,6321,6754,6680,6214,5501,5540,5574,5634,5710,5904,5982,6116,6244,6302,6408,6502,6570,6698,6790,7004,7047,7148,7343,7386,7586,7686,7766,7788,7920,7887,7952,8076,8220,8503,8668,8721,8998,9162,9332
B4,6033,8167,7981,7806,7720,7375,7105,6795,6443,6117,5834,5600,5417,5395,5634,6236,6948,7392,7237,6554,5843,5656,5675,5690,5771,5952,6080,6136,6290,6311,6425,6573,6660,6835,6874,7114,7090,7197,7333,7407,7603,7699,7906,7885,8140,8191,8356,8536,8733,9032,9224,9207,9559,9718,9817
B5,3977,7489,7511,7338,7170,6963,6726,6438,6114,5740,5487,5302,5199,5250,5717,6787,8125,9091,9569,9175,8191,6932,6054,5845,5807,5944,6040,6095,6220,6244,6370,6506,6512,6596,6557,6744,6799,6984,7287,7351,7577,7703,7893,7942,8177,8288,8428,8587,8823,9061,9189,9274,9536,9708,9835
B6,7678,10147,9841,9677,9555,9419,9329,9288,9321,9316,9243,9227,9221,9192,9199,9231,9211,9180,9220,9327,9226,9324,9348,9289,9260,9345,9298,9209,9110,9016,9049,9003,8887,8951,8750,8898,8956,9467,10194,10947,11853,12621,12749,12000,11101,10120,9503,9177,9036,9065,9027,8846,8897,8926,8829
C2,5968,8293,8305,7998,7740,7525,7250,6950,6606,6187,5911,5666,5551,5682,6073,7026,7946,8587,8231,7337,6242,5916,5806,5820,5843,5907,6059,6111,6205,6307,6388,6449,6588,6660,6791,6922,7058,7154,7326,7460,7645,7834,7937,8120,8294,8450,8546,8756,8954,9107,9314,9551,9673,9943,10082
C3,6160,8682,8735,8438,8246,8002,7696,7693,7979,9224,12357,18434,27372,35415,39315,38791,32225,23683,17157,14250,12946,12291,11864,11647,11451,11175,11058,10897,10725,10659,10539,10529,10491,10446,10379,10192,10242,10288,10298,10129,10079,10117,10282,10434,10603,10692,10825,11001,11081,11098,11141,11254,11384,11481,11694
C4,5681,7780,7749,7573,7391,7169,6826,6579,6275,5999,5667,5450,5292,5282,5468,5977,6788,7259,7127,6471,5723,5468,5453,5512,5594,5715,5900,5937,6032,6206,6206,6324,6508,6637,6739,6789,6995,7083,7155,7208,7329,7364,7390,7509,7580,7708,7858,8030,8177,8398,8492,8602,8771,8900,9087
C5,4821,7749,7626,7511,7325,7088,6792,6538,6234,5913,5621,5320,5120,5121,5391,6258,7433,8389,8616,8215,7379,6572,5877,5597,5509,5505,5607,5662,5760,5856,5926,6084,6187,6218,6381,6454,6552,6727,6895,7086,7218,7351,7460,7588,7747,7833,7922,8097,8230,8416,8593,8772,8879,9069,9145
C6,5030,6909,6722,6546,6503,6467,6401,6407,6414,6453,6407,6418,6438,6520,6590,6629,6649,6553,6507,6505,6468,6375,6403,6271,6247,6253,6206,6090,6052,5993,5901,5825,5717,5563,5554,5474,5486,5563,5536,5525,5476,5490,5471,5529,5565,5604,5636,5714,5759,5866,5910,5991,6097,6161,6285
D2,6776,7927,8065,7903,7576,7289,6984,6769,6413,6142,5831,5618,5515,5614,6025,7016,8242,9060,9237,8573,7471,6371,5911,5835,5854,5941,6070,6136,6261,6379,6515,6616,6752,6771,6875,6934,7009,7116,7208,7338,7487,7631,7835,8016,8211,8356,8475,8668,8855,9033,9229,9401,9578,9730,9858
D3,5732,8309,8248,8146,7952,7654,7272,6999,6605,6268,5905,5629,5442,5401,5595,6081,6859,7268,7070,6274,5690,5547,5577,5635,5787,5851,5964,6038,6191,6286,6392,6516,6569,6579,6597,6598,6610,6668,6850,6944,7013,7170,7304,7437,7608,7703,7812,8016,8141,8345,8391,8502,8640,8813,8865
D4,7487,11365,11330,11031,10864,10563,10338,10165,10507,12019,16051,23569,33677,42072,46175,45405,37302,26597,20099,17606,16089,15134,14733,14251,14023,13783,13547,13279,13131,12978,12800,12729,12598,12476,12363,12231,12089,11977,11606,11417,11235,11277,11360,11518,11728,11803,11917,12020,12097,12210,12379,12533,12612,12717,12869
D5,4338,7385,7669,7444,7208,6935,6763,6516,6216,5948,5639,5384,5297,5290,5574,6510,7863,9001,9647,9441,8539,7479,6617,6105,5972,5951,5959,6023,6094,6185,6306,6499,6629,6770,6909,6982,7132,7216,7267,7352,7415,7562,7691,7874,8023,8174,8273,8447,8578,8756,8891,9122,9175,9338,9474
D6,4284,6586,6354,6257,6174,6131,6101,6096,6094,6074,6078,6119,6173,6233,6310,6320,6311,6296,6253,6278,6198,6169,6134,6113,6090,6056,5990,5963,5873,5826,5754,5690,5601,5529,5461,5392,5463,5464,5440,5429,5457,5488,5480,5516,5567,5628,5691,5743,5844,5907,5959,6070,6127,6291,6342
E2,6073,6949,7101,6912,6615,6353,6155,5884,5605,5336,5092,4956,4922,5054,5412,6324,7095,7554,7172,6339,5536,5095,5140,5147,5251,5345,5393,5452,5528,5692,5801,5919,6051,6168,6268,6380,6559,6714,7228,7378,7502,7567,7730,7800,7898,7974,8061,8211,8396,8513,8638,8796,8969,9036,9292
E3,5978,7755,8061,7719,7423,7145,6888,6695,6393,6067,5752,5494,5371,5351,5517,6002,6852,7404,7335,6560,5684,5421,5420,5478,5523,5589,5718,5761,5884,6059,6134,6285,6374,6489,6497,6549,6604,6681,6760,6848,6831,6917,7055,7123,7316,7366,7535,7728,7861,8059,8269,8423,8649,8732,8814
E4,6152,7629,7577,7511,7372,7163,6868,6606,6295,5944,5686,5444,5366,5384,5695,6499,7642,8342,8409,7766,6811,5878,5571,5569,5686,5767,5868,6016,6071,6207,6237,6252,6287,6338,6403,6521,6617,6715,6850,6982,7115,7264,7359,7501,7622,7716,7879,7994,8110,8261,8398,8598,8740,8871,9063
E5,6756,10495,10981,10454,10281,10052,9790,9760,10260,12059,16395,24451,35415,44589,48650,47433,40031,29850,22215,17853,15465,14315,13460,13093,12836,12629,12378,11986,11612,11279,10996,10887,10913,10888,11017,11125,11158,11167,11336,11465,11571,11911,12109,12238,12356,12380,12535,12696,12827,13094,13208,13486,13491,13558,13561
E6,4495,6607,6348,6226,6147,6094,6066,6076,6062,6065,6071,6065,6117,6164,6232,6337,6343,6252,6207,6227,6184,6171,6119,6062,6069,6040,5946,5911,5880,5800,5739,5690,5659,5616,5530,5486,5542,5562,5563,5559,5576,5586,5560,5590,5549,5523,5582,5648,5684,5718,5788,5845,5839,5943,5964
F2,10767,11492,11561,11195,10852,10653,10438,10643,11637,14584,20833,30554,40719,46843,47641,42036,34207,25861,20032,17176,15553,14575,14057,13640,13224,12850,12368,11802,11463,11183,11046,11063,11118,11312,11343,11227,11284,11298,11414,11632,11902,12199,12748,12837,13100,13270,13360,13484,13665,13909,13938,14104,14197,14372,14489
