pqsL,,pqsH1,,pqsBC,lasR1,,lasR2,mvfR
pqsL,,pqsH1,,pqsBC,lasR1,,lasR2,mvfR
pqsL,,pqsH1,,pqsBC,lasR1,,lasR2,mvfR
LB,WT,,pqsH2,pqsA CTX::PqsE,,pqsE,,rhlR
LB,WT,,pqsH2,pqsA CTX::PqsE,,pqsE,,rhlR
LB,WT,,pqsH2,pqsA CTX::PqsE,,pqsE,,rhlR
